127.0.0.1 - - [09/Mar/2018:09:16:00 +0000] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:44:51 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:44:51 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:44:51 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:44:51 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:44:57 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:44:57 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:44:57 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:44:57 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:46:06 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:46:06 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:46:06 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:46:06 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:46:11 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:46:11 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:46:11 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:46:11 +0000] "-" 400 -
127.0.0.1 - - [09/Mar/2018:09:49:02 +0000] "GET /ProductCatalogSOAPService/services/ProductCatalogServiceImpl?wsdl HTTP/1.1" 200 5468
127.0.0.1 - - [09/Mar/2018:09:49:35 +0000] "POST /ProductCatalogSOAPService/services/ProductCatalogServiceImpl HTTP/1.1" 200 1616
127.0.0.1 - - [09/Mar/2018:09:50:00 +0000] "POST /ProductCatalogSOAPService/services/ProductCatalogServiceImpl HTTP/1.1" 500 545
127.0.0.1 - - [09/Mar/2018:09:50:17 +0000] "POST /ProductCatalogSOAPService/services/ProductCatalogServiceImpl HTTP/1.1" 500 545
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:53:24 +0000] "GET /ProductCatalogSOAPService/services/ProductCatalogServiceImpl?wsdl HTTP/1.1" 200 5468
0:0:0:0:0:0:0:1 - - [09/Mar/2018:10:04:39 +0000] "GET /ProductCatalogSOAPService/services/ProductCatalogServiceImpl?wsdl HTTP/1.1" 200 5468
0:0:0:0:0:0:0:1 - - [09/Mar/2018:10:15:27 +0000] "POST /ProductCatalogSOAPService/services/ProductCatalogServiceImpl?wsdl HTTP/1.1" 500 569
0:0:0:0:0:0:0:1 - - [09/Mar/2018:10:15:54 +0000] "POST /ProductCatalogSOAPService/services/ProductCatalogServiceImpl?wsdl HTTP/1.1" 500 569
0:0:0:0:0:0:0:1 - - [09/Mar/2018:10:16:10 +0000] "GET /ProductCatalogSOAPService/services/ProductCatalogServiceImpl?wsdl HTTP/1.1" 200 5468
0:0:0:0:0:0:0:1 - - [09/Mar/2018:10:18:07 +0000] "POST /ProductCatalogSOAPService/services/ProductCatalogServiceImpl?wsdl HTTP/1.1" 500 569
0:0:0:0:0:0:0:1 - - [09/Mar/2018:10:19:19 +0000] "GET /ProductCatalogSOAPService/services/ProductCatalogServiceImpl?wsdl HTTP/1.1" 200 5468
0:0:0:0:0:0:0:1 - - [09/Mar/2018:10:21:04 +0000] "POST /ProductCatalogSOAPService/services/ProductCatalogServiceImpl?wsdl HTTP/1.1" 500 569
0:0:0:0:0:0:0:1 - - [09/Mar/2018:10:21:14 +0000] "GET /ProductCatalogSOAPService/services/ProductCatalogServiceImpl?wsdl HTTP/1.1" 200 5468
0:0:0:0:0:0:0:1 - - [09/Mar/2018:10:22:45 +0000] "POST /ProductCatalogSOAPService/services/ProductCatalogServiceImpl?wsdl HTTP/1.1" 500 569
0:0:0:0:0:0:0:1 - - [09/Mar/2018:10:29:18 +0000] "POST /ProductCatalogSOAPService/services/ProductCatalogServiceImpl?wsdl HTTP/1.1" 500 569
0:0:0:0:0:0:0:1 - - [09/Mar/2018:10:29:43 +0000] "POST /ProductCatalogSOAPService/services/ProductCatalogServiceImpl?wsdl HTTP/1.1" 500 569
0:0:0:0:0:0:0:1 - - [09/Mar/2018:10:30:14 +0000] "POST /ProductCatalogSOAPService/services/ProductCatalogServiceImpl?wsdl HTTP/1.1" 500 569
0:0:0:0:0:0:0:1 - - [09/Mar/2018:10:36:56 +0000] "POST /ProductCatalogSOAPService/services/ProductCatalogServiceImpl?wsdl HTTP/1.1" 500 569
0:0:0:0:0:0:0:1 - - [09/Mar/2018:10:40:17 +0000] "POST /ProductCatalogSOAPService/services/ProductCatalogServiceImpl?wsdl HTTP/1.1" 500 569
0:0:0:0:0:0:0:1 - - [09/Mar/2018:10:40:24 +0000] "POST /ProductCatalogSOAPService/services/ProductCatalogServiceImpl?wsdl HTTP/1.1" 500 569
0:0:0:0:0:0:0:1 - - [09/Mar/2018:10:41:50 +0000] "POST /ProductCatalogSOAPService/services/ProductCatalogServiceImpl?wsdl HTTP/1.1" 500 569
0:0:0:0:0:0:0:1 - - [09/Mar/2018:10:42:19 +0000] "POST /ProductCatalogSOAPService/services/ProductCatalogServiceImpl?wsdl HTTP/1.1" 500 569
127.0.0.1 - - [09/Mar/2018:10:43:07 +0000] "POST /ProductCatalogSOAPService/services/ProductCatalogServiceImpl HTTP/1.1" 200 1616
127.0.0.1 - - [09/Mar/2018:10:43:57 +0000] "POST /ProductCatalogSOAPService/services/ProductCatalogServiceImpl HTTP/1.1" 500 552
127.0.0.1 - - [09/Mar/2018:10:44:15 +0000] "POST /ProductCatalogSOAPService/services/ProductCatalogServiceImpl HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [09/Mar/2018:10:44:32 +0000] "GET /ProductCatalogSOAPService/services/ProductCatalogServiceImpl?wsdl HTTP/1.1" 200 5468
127.0.0.1 - - [09/Mar/2018:10:45:04 +0000] "POST /ProductCatalogSOAPService/services/ProductCatalogServiceImpl HTTP/1.1" 200 491
127.0.0.1 - - [09/Mar/2018:10:45:27 +0000] "POST /ProductCatalogSOAPService/services/ProductCatalogServiceImpl HTTP/1.1" 200 337
127.0.0.1 - - [09/Mar/2018:10:45:35 +0000] "POST /ProductCatalogSOAPService/services/ProductCatalogServiceImpl HTTP/1.1" 200 1883
0:0:0:0:0:0:0:1 - - [09/Mar/2018:10:46:11 +0000] "GET /ProductCatalogSOAPService/services/ProductCatalogServiceImpl?wsdl HTTP/1.1" 200 5468
0:0:0:0:0:0:0:1 - - [09/Mar/2018:10:53:21 +0000] "GET /ProductCatalogSOAPService/services/ProductCatalogServiceImpl?wsdl HTTP/1.1" 200 5468
0:0:0:0:0:0:0:1 - - [09/Mar/2018:11:20:06 +0000] "GET /ProductCatalogSOAPService/services/ProductCatalogServiceImpl?wsdl HTTP/1.1" 200 5468
127.0.0.1 - - [09/Mar/2018:11:32:45 +0000] "POST /ProductCatalogSOAPService/services/ProductCatalogServiceImpl HTTP/1.1" 200 1883
127.0.0.1 - - [09/Mar/2018:11:32:49 +0000] "POST /ProductCatalogSOAPService/services/ProductCatalogServiceImpl HTTP/1.1" 200 1883
127.0.0.1 - - [09/Mar/2018:11:33:01 +0000] "POST /ProductCatalogSOAPService/services/ProductCatalogServiceImpl HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [09/Mar/2018:11:54:09 +0000] "GET /ProductCatalogSOAPService/services/ProductCatalogServiceImpl?wsdl HTTP/1.1" 200 5468
